id;satellite;sensor;mode;acquisition start;acquisition stop;orbit;orbit direction;polarisation mode;elevation angle;incidence angle;number of frames;interferometric stack id;Geo Bas Perp;Geo Bas Parallel;cloud percent;off nadir angle;sun elevation angle;area square kilometers;AoI coverage;footprint
1732971;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-02-19 at 16:38:42 UTC;2021-02-19 at 16:38:50 UTC;71420;DESCENDING;HH;N/A;0.0293125;1;N/A;N/A;N/A;N/A;N/A;N/A;2022.7;0.005630166263016954%;POLYGON((19.666914 41.57803,19.552032 41.128727,20.023609 41.06068,20.128082 41.511837,19.666914 41.57803))
1732972;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-0B;2021-02-19 at 16:39:01 UTC;2021-02-19 at 16:39:09 UTC;71420;DESCENDING;HH;N/A;0.0239175;1;N/A;N/A;N/A;N/A;N/A;N/A;2111.3;0.28654297712672006%;POLYGON((20.105957 40.300262,19.995319 39.860699,20.487101 39.785213,20.588749 40.226566,20.105957 40.300262))
1734605;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-01;2021-02-20 at 16:56:42 UTC;2021-02-20 at 16:57:25 UTC;71435;DESCENDING;HH;N/A;0.0265555;7;N/A;N/A;N/A;N/A;N/A;N/A;11873.8;3537503665941410%;POLYGON((15.72242 42.327316,15.052 39.757141,15.51853 39.687016,16.20723 42.256447,15.72242 42.327316))
1736396;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-02-23 at 04:26:49 UTC;2021-02-23 at 04:27:49 UTC;71472;ASCENDING;HH;N/A;0.029345;10;N/A;N/A;N/A;N/A;N/A;N/A;16574.5;6321469583023260%;POLYGON((17.29088 38.707024,16.37998 42.324184,15.898261 42.255737,16.83419 38.639194,17.29088 38.707024))
1737852;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-18;2021-02-24 at 16:32:55 UTC;2021-02-24 at 16:33:03 UTC;71494;DESCENDING;HH;N/A;0.0525035;1;N/A;N/A;N/A;N/A;N/A;N/A;1584.1;0.29028574075144814%;POLYGON((16.516994 40.990128,16.435745 40.541637,16.803722 40.502361,16.886906 40.951077,16.516994 40.990128))
1741739;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-08;2021-03-02 at 16:44:59 UTC;2021-03-02 at 16:45:06 UTC;71583;DESCENDING;VV;N/A;0.038752499999999995;1;N/A;N/A;N/A;N/A;N/A;N/A;2118.1;0.32695570152192643%;POLYGON((16.427416 41.004402,16.322813 40.554096,16.809515 40.490097,16.912619 40.94112,16.427416 41.004402))
1744558;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-03-05 at 04:14:54 UTC;2021-03-05 at 04:15:01 UTC;71620;ASCENDING;HH;N/A;0.0293225;1;N/A;N/A;N/A;N/A;N/A;N/A;2068.3;0.20835047945306667%;POLYGON((20.127319 39.500908,20.020296 39.950878,19.55094 39.882015,19.66555 39.432777,20.127319 39.500908))
1750529;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-03-08 at 16:56:41 UTC;2021-03-08 at 16:57:23 UTC;71672;DESCENDING;HH;N/A;0.029293;7;N/A;N/A;N/A;N/A;N/A;N/A;11791.6;2767446757448830%;POLYGON((15.351571 42.507931,14.695579 39.934219,15.16026 39.866169,15.83466 42.43932,15.351571 42.507931))
1753175;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-03-11 at 04:26:51 UTC;2021-03-11 at 04:27:50 UTC;71709;ASCENDING;HH;N/A;0.0293505;10;N/A;N/A;N/A;N/A;N/A;N/A;16574.0;622080761924409%;POLYGON((17.28871 38.693913,16.377781 42.310787,15.896169 42.242302,16.83217 38.625816,17.28871 38.693913))
1756357;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-18;2021-03-12 at 16:32:57 UTC;2021-03-12 at 16:33:05 UTC;71731;DESCENDING;VV;N/A;0.0525035;1;N/A;N/A;N/A;N/A;N/A;N/A;1585.2;0.268526286788928%;POLYGON((16.511295 40.986729,16.42947 40.538326,16.798132 40.499233,16.881147 40.947914,16.511295 40.986729))
1756526;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-0B;2021-03-13 at 16:50:28 UTC;2021-03-13 at 16:50:35 UTC;71746;DESCENDING;HH;N/A;0.023918;1;N/A;N/A;N/A;N/A;N/A;N/A;2166.5;0.5359454015941427%;POLYGON((17.754759 42.952831,17.64616 42.511696,18.172529 42.433456,18.268326 42.876945,17.754759 42.952831))
1757552;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2021-03-13 at 16:50:46 UTC;2021-03-13 at 16:52:17 UTC;71746;DESCENDING;HH;N/A;0.032155500000000004;16;N/A;N/A;N/A;N/A;N/A;N/A;25540.5;4210215019527360%;POLYGON((16.29273 42.023129,14.96401 36.487701,15.410961 36.420712,16.77622 41.956104,16.29273 42.023129))
1760627;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-03-16 at 04:21:03 UTC;2021-03-16 at 04:21:25 UTC;71783;ASCENDING;HH;N/A;0.0293255;4;N/A;N/A;N/A;N/A;N/A;N/A;6177.2;699815682437281%;POLYGON((18.5602 39.686043,18.2218 41.03458,17.74955 40.966309,18.097191 39.618019,18.5602 39.686043))
1763598;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-23;2021-03-17 at 16:26:55 UTC;2021-03-17 at 16:27:03 UTC;71805;DESCENDING;VV;N/A;0.058514000000000004;1;N/A;N/A;N/A;N/A;N/A;N/A;1557.4;0.004979054551957051%;POLYGON((16.271418 41.013458,16.199923 40.552406,16.553257 40.520123,16.627579 40.981392,16.271418 41.013458))
1764518;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2021-03-18 at 16:44:59 UTC;2021-03-18 at 16:45:12 UTC;71820;DESCENDING;HH;N/A;0.0321905;2;N/A;N/A;N/A;N/A;N/A;N/A;3849.2;4122798174456180%;POLYGON((17.54921 40.994385,17.34486 40.159515,17.814911 40.092529,18.025141 40.927418,17.54921 40.994385))
1766990;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-03-21 at 04:14:55 UTC;2021-03-21 at 04:15:03 UTC;71857;ASCENDING;HH;N/A;0.029318999999999998;1;N/A;N/A;N/A;N/A;N/A;N/A;2063.3;0.21667950738201883%;POLYGON((20.12064 39.499683,20.012489 39.948997,19.54431 39.880524,19.658819 39.431816,20.12064 39.499683))
1773891;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-01;2021-03-24 at 16:56:44 UTC;2021-03-24 at 16:57:26 UTC;71909;DESCENDING;HH;N/A;0.0265545;7;N/A;N/A;N/A;N/A;N/A;N/A;11782.6;34131653621854800%;POLYGON((15.71405 42.30545,15.048761 39.754978,15.51526 39.684826,16.198681 42.234554,15.71405 42.30545))
1784701;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-23;2021-04-02 at 16:26:53 UTC;2021-04-02 at 16:27:01 UTC;72042;DESCENDING;HH;N/A;0.058515;1;N/A;N/A;N/A;N/A;N/A;N/A;1559.6;0.008778952350562915%;POLYGON((16.282413 41.013573,16.210579 40.552078,16.56435 40.519764,16.638437 40.981529,16.282413 41.013573))
1785810;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-08;2021-04-03 at 16:44:59 UTC;2021-04-03 at 16:45:06 UTC;72057;DESCENDING;HH;N/A;0.038756;1;N/A;N/A;N/A;N/A;N/A;N/A;2106.2;0.3386079033340229%;POLYGON((16.433008 41.003883,16.328928 40.556042,16.815504 40.491901,16.918169 40.940407,16.433008 41.003883))
1788493;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-04-06 at 04:14:53 UTC;2021-04-06 at 04:15:00 UTC;72094;ASCENDING;HH;N/A;0.0293215;1;N/A;N/A;N/A;N/A;N/A;N/A;2067.8;0.2003076402477081%;POLYGON((20.13328 39.501255,20.02425 39.951714,19.55669 39.882977,19.67153 39.433044,20.13328 39.501255))
