,CSK,SEN,IoU,geometry
184,1306875,S1A_IW_SLC__1SDV_20200317T164917_20200317T164944_031718_03A855_2E13,0.11362666038549481,"MULTIPOLYGON (((15.213306 40.91024, 14.789254 42.52927800000001, 17.914268 42.930943, 18.257421 41.312424, 15.213306 40.91024)), ((15.17311 39.940884, 14.70799 40.009163, 15.31827 42.403767, 15.8005 42.33498, 15.17311 39.940884)))"
185,1306875,S1A_IW_SLC__1SDV_20200317T164852_20200317T164919_031718_03A855_DBC6,0.013258825966637319,"MULTIPOLYGON (((15.594309 39.419315, 15.180901 41.039616, 18.230812 41.441666, 18.569071 39.82222700000001, 15.594309 39.419315)), ((15.17311 39.940884, 14.70799 40.009163, 15.31827 42.403767, 15.8005 42.33498, 15.17311 39.940884)))"
194,1405146,S1A_IW_SLC__1SDV_20200808T164924_20200808T164951_033818_03EBBE_B313,0.11582847185174318,"MULTIPOLYGON (((15.214583 40.910458, 14.790539 42.52964, 17.915276 42.93122899999999, 18.258423 41.312569, 15.214583 40.910458)), ((15.18844 39.960915, 14.723169 40.02914, 15.331679 42.41684, 15.81408 42.348278, 15.18844 39.960915)))"
195,1405146,S1A_IW_SLC__1SDV_20200808T164859_20200808T164926_033818_03EBBE_FA6C,0.014132844587132716,"MULTIPOLYGON (((15.595517 39.41964, 15.182179 41.039837, 18.231817 41.441814, 18.570019 39.822479, 15.595517 39.41964)), ((15.18844 39.960915, 14.723169 40.02914, 15.331679 42.41684, 15.81408 42.348278, 15.18844 39.960915)))"
199,1464642,S1B_IW_SLC__1SDV_20200919T164820_20200919T164847_023447_02C89D_563B,0.09129185187746888,"MULTIPOLYGON (((15.569247 39.468872, 15.15356 41.095448, 18.218967 41.49929, 18.558687 39.873558, 15.569247 39.468872)), ((18.15704 39.696972, 17.693569 39.765285, 17.95048 40.790077, 18.42095 40.721619, 18.15704 39.696972)))"
200,1464642,S1B_IW_SLC__1SDV_20200919T164755_20200919T164823_023447_02C89D_8069,0.017732961502193147,"MULTIPOLYGON (((15.952578 37.925102, 15.533838 39.604435, 18.529879 40.00912899999999, 18.875841 38.330997, 15.952578 37.925102)), ((18.15704 39.696972, 17.693569 39.765285, 17.95048 40.790077, 18.42095 40.721619, 18.15704 39.696972)))"
202,1479233,S1A_IW_SLC__1SDV_20200925T164926_20200925T164953_034518_040458_A9FB,0.11497200115467363,"MULTIPOLYGON (((15.213647 40.910469, 14.789623 42.52939600000001, 17.91441 42.931019, 18.257542 41.312611, 15.213647 40.910469)), ((15.18411 39.951824, 14.71894 40.020214, 15.32789 42.409081, 15.81019 42.340351, 15.18411 39.951824)))"
203,1479233,S1A_IW_SLC__1SDV_20200925T164902_20200925T164928_034518_040458_0D0E,0.014018020187931914,"MULTIPOLYGON (((15.594683 39.419407, 15.181334 41.039474, 18.231009 41.441486, 18.569218 39.822281, 15.594683 39.419407)), ((15.18411 39.951824, 14.71894 40.020214, 15.32789 42.409081, 15.81019 42.340351, 15.18411 39.951824)))"
217,1290505,S1A_IW_SLC__1SDV_20200222T164852_20200222T164919_031368_039C39_A52D,0.0442637792304169,"MULTIPOLYGON (((15.595264 39.420002, 15.182015 41.039806, 18.232019 41.441811, 18.570131 39.822865, 15.595264 39.420002)), ((16.825293 40.488491, 16.348358 40.558235, 16.463913 41.009041, 16.938684 40.939968, 16.825293 40.488491)))"
220,1322085,S1A_IW_SLC__1SDV_20200410T164917_20200410T164944_032068_03B4AD_E15C,0.004438630071479673,"MULTIPOLYGON (((15.215002 40.910408, 14.790967 42.529598, 17.915638 42.931164, 18.258778 41.3125, 15.215002 40.910408)), ((16.617479 38.06699, 16.16054 38.13744, 16.95857 41.264835, 17.435431 41.193905, 16.617479 38.06699)))"
221,1322085,S1A_IW_SLC__1SDV_20200410T164853_20200410T164920_032068_03B4AD_1F05,0.14093006389235838,"MULTIPOLYGON (((15.596022 39.419216, 15.182599 41.039787, 18.232172 41.441746, 18.570444 39.822033, 15.596022 39.419216)), ((16.617479 38.06699, 16.16054 38.13744, 16.95857 41.264835, 17.435431 41.193905, 16.617479 38.06699)))"
222,1322085,S1A_IW_SLC__1SDV_20200410T164827_20200410T164855_032068_03B4AD_B23F,0.1327990946644141,"MULTIPOLYGON (((15.980447 37.869255, 15.562537 39.548138, 18.543137 39.950954, 18.888819 38.273293, 15.980447 37.869255)), ((16.617479 38.06699, 16.16054 38.13744, 16.95857 41.264835, 17.435431 41.193905, 16.617479 38.06699)))"
228,1384550,S1A_IW_SLC__1SDV_20200715T164947_20200715T165014_033468_03E0CE_16A0,0.006415343879401564,"MULTIPOLYGON (((14.840964 42.40247, 14.40552 44.020599, 17.603977 44.420849, 17.952465 42.802891, 14.840964 42.40247)), ((18.17354 42.439758, 17.6472 42.51833, 17.762472 42.975105, 18.268484 42.900055, 18.17354 42.439758)))"
229,1384550,S1A_IW_SLC__1SDV_20200715T164923_20200715T164950_033468_03E0CE_2770,0.021877469819974193,"MULTIPOLYGON (((15.215377 40.91013, 14.791448 42.528942, 17.916159 42.930527, 18.259216 41.312233, 15.215377 40.91013)), ((18.17354 42.439758, 17.6472 42.51833, 17.762472 42.975105, 18.268484 42.900055, 18.17354 42.439758)))"
239,1505200,S1B_IW_SLC__1SDV_20201008T164015_20201008T164043_023724_02D155_59EE,0.04484817242015043,"MULTIPOLYGON (((17.519638 39.981838, 17.087555 41.659267, 20.159521 42.059834, 20.511696 40.383167, 17.519638 39.981838)), ((18.525551 39.574066, 18.059879 39.644608, 18.31554 40.640781, 18.787979 40.570034, 18.525551 39.574066)))"
240,1505200,S1B_IW_SLC__1SDV_20201008T163951_20201008T164018_023724_02D155_77DD,0.059825532470587514,"MULTIPOLYGON (((17.891483 38.489727, 17.484486 40.110142, 20.483404 40.511585, 20.818794 38.892231, 17.891483 38.489727)), ((18.525551 39.574066, 18.059879 39.644608, 18.31554 40.640781, 18.787979 40.570034, 18.525551 39.574066)))"
255,1681855,S1B_IW_SLC__1SDV_20210112T164013_20210112T164041_025124_02FDBF_0BE9,0.049027120111333825,"MULTIPOLYGON (((17.520987 39.981735, 17.089058 41.658787, 20.161274 42.059311, 20.513298 40.383022, 17.520987 39.981735)), ((18.520109 39.54266, 18.054621 39.613064, 18.330561 40.688896, 18.80337 40.618248, 18.520109 39.54266)))"
256,1681855,S1B_IW_SLC__1SDV_20210112T163948_20210112T164015_025124_02FDBF_E00F,0.0625263758645869,"MULTIPOLYGON (((17.892727 38.489883, 17.485813 40.110168, 20.484991 40.511562, 20.820288 38.892342, 17.892727 38.489883)), ((18.520109 39.54266, 18.054621 39.613064, 18.330561 40.688896, 18.80337 40.618248, 18.520109 39.54266)))"
258,1699267,S1A_IW_SLC__1SDV_20210123T164923_20210123T164950_036268_04411C_EDE8,0.01730046499155605,"MULTIPOLYGON (((15.214651 40.910084, 14.790556 42.529236, 17.915735 42.930893, 18.258907 41.31225999999999, 15.214651 40.910084)), ((16.135759 37.699718, 15.68499 37.767941, 16.581869 41.386932, 17.056549 41.318207, 16.135759 37.699718)))"
259,1699267,S1A_IW_SLC__1SDV_20210123T164859_20210123T164926_036268_04411C_A09E,0.14162750333241414,"MULTIPOLYGON (((15.595662 39.41917, 15.182276 41.039337, 18.232325 41.44138, 18.570549 39.822071, 15.595662 39.41917)), ((16.135759 37.699718, 15.68499 37.767941, 16.581869 41.386932, 17.056549 41.318207, 16.135759 37.699718)))"
260,1699267,S1A_IW_SLC__1SDV_20210123T164833_20210123T164901_036268_04411C_253D,0.12777150173134874,"MULTIPOLYGON (((15.980171 37.869122, 15.562203 39.547966, 18.543264 39.950863, 18.888979 38.273232, 15.980171 37.869122)), ((16.135759 37.699718, 15.68499 37.767941, 16.581869 41.386932, 17.056549 41.318207, 16.135759 37.699718)))"
270,1756358,S1A_IW_SLC__1SDV_20210312T164923_20210312T164950_036968_045977_96F2,0.009621523000138748,"MULTIPOLYGON (((15.214386 40.910542, 14.790223 42.530201, 17.915365 42.931808, 18.258593 41.312672, 15.214386 40.910542)), ((16.60895 38.017868, 16.152269 38.088295, 16.98089 41.335899, 17.458269 41.26498, 16.60895 38.017868)))"
271,1756358,S1A_IW_SLC__1SDV_20210312T164858_20210312T164925_036968_045977_75A3,0.14507592898769178,"MULTIPOLYGON (((15.595404 39.419369, 15.182048 41.039673, 18.23204 41.441669, 18.570242 39.82222700000001, 15.595404 39.419369)), ((16.60895 38.017868, 16.152269 38.088295, 16.98089 41.335899, 17.458269 41.26498, 16.60895 38.017868)))"
272,1756358,S1A_IW_SLC__1SDV_20210312T164832_20210312T164900_036968_045977_60E5,0.13598209296137717,"MULTIPOLYGON (((15.980039 37.868568, 15.562012 39.54792, 18.543013 39.950775, 18.888779 38.272644, 15.980039 37.868568)), ((16.60895 38.017868, 16.152269 38.088295, 16.98089 41.335899, 17.458269 41.26498, 16.60895 38.017868)))"
284,1813379,S1B_IW_SLC__1SDV_20210418T164013_20210418T164041_026524_032AD1_96D6,0.049685233749554185,"MULTIPOLYGON (((17.520975 39.981007, 17.088869 41.658703, 20.160532 42.059223, 20.512739 40.382294, 17.520975 39.981007)), ((18.51083 39.548492, 18.045309 39.6189, 18.32127 40.693752, 18.794121 40.623112, 18.51083 39.548492)))"
285,1813379,S1B_IW_SLC__1SDV_20210418T163948_20210418T164015_026524_032AD1_B57A,0.061733340170480606,"MULTIPOLYGON (((17.892778 38.489006, 17.485817 40.10944, 20.484512 40.510845, 20.819881 38.891476, 17.892778 38.489006)), ((18.51083 39.548492, 18.045309 39.6189, 18.32127 40.693752, 18.794121 40.623112, 18.51083 39.548492)))"
288,1839011,S1A_IW_SLC__1SDV_20210429T164859_20210429T164926_037668_0471B3_0F5C,0.04399363542422038,"MULTIPOLYGON (((15.59761 39.419193, 15.184381 41.039154, 18.233957 41.441078, 18.572065 39.821983, 15.59761 39.419193)), ((16.835632 40.488029, 16.359819 40.557549, 16.474031 41.006451, 16.948292 40.937603, 16.835632 40.488029)))"
